PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
375,0.529106,0.0386,0.0026324,0.00583051,0.0103306,360,0,0.245714,93.3424,0.964286,42.1429
376,0.165868,0.0386,0.0150903,0.00583051,0.0592206,360,0,0.245714,16.2829,0.964286,42.1429
377,0.500398,0.0386,0.0227747,0.00583051,0.0893776,360,0,0.245714,10.7889,0.964286,42.1429
378,0.156182,0.0386,0.667328,0.00583051,2.61887,360,0,0.245714,0.368206,0.964286,42.1429
379,0.335582,0.0386,0.0381566,0.00583051,0.149742,360,0,0.245714,6.43963,0.964286,42.1429
380,0.0529926,0.0386,0.0923078,0.00583051,0.362254,360,0,0.245714,2.6619,0.964286,42.1429
381,0.391755,0.0386,0.0274718,0.00583051,0.107811,360,0,0.245714,8.94424,0.964286,42.1429
382,0.326487,0.0386,0.036398,0.00583051,0.142841,360,0,0.245714,6.75077,0.964286,42.1429
383,0.166533,0.0386,0.0136526,0.00583051,0.0535787,360,0,0.245714,17.9976,0.964286,42.1429
384,0.106695,0.0386,0.293185,0.00583051,1.15058,360,0,0.245714,0.838086,0.964286,42.1429
385,0.239245,0.0386,0.0259029,0.00583051,0.101654,360,0,0.245714,9.48596,0.964286,42.1429
386,0.457326,0.0386,0.0051339,0.00583051,0.0201476,360,0,0.245714,47.8611,0.964286,42.1429
387,0.601539,0.0386,0.00955315,0.00583051,0.0374906,360,0,0.245714,25.7208,0.964286,42.1429
388,0.197289,0.0386,0.0157399,0.00583051,0.0617698,360,0,0.245714,15.611,0.964286,42.1429
389,0.144913,0.0386,0.125962,0.00583051,0.494327,360,0,0.245714,1.9507,0.964286,42.1429
390,0.10626,0.0386,0.153316,0.00583051,0.601674,360,0,0.245714,1.60267,0.964286,42.1429
391,0.0690743,0.0386,0.0544876,0.00583051,0.213832,360,0,0.245714,4.50955,0.964286,42.1429
392,0.376972,0.0386,0.0140774,0.00583051,0.0552456,360,0,0.245714,17.4545,0.964286,42.1429
