PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.548935,0.0386,0.00527477,0.00590206,0.0207004,480,0.24338,0.33164,62.8728,1.30149,56.1905
1,0.24087,0.0386,0.0165555,0.00590206,0.0649707,480,0.24338,0.33164,20.032,1.30149,56.1905
2,0.405116,0.0386,0.019254,0.00590206,0.0755609,480,0.24338,0.33164,17.2244,1.30149,56.1905
3,0.0958873,0.0386,0.0267404,0.00590206,0.10494,480,0.24338,0.33164,12.4022,1.30149,56.1905
4,0.130867,0.0386,0.00775335,0.00590206,0.0304274,480,0.24338,0.33164,42.7737,1.30149,56.1905
5,0.16599,0.0386,0.203009,0.00590206,0.796694,480,0.24338,0.33164,1.63362,1.30149,56.1905
6,0.17285,0.0386,0.0236467,0.00590206,0.0927995,480,0.24338,0.33164,14.0248,1.30149,56.1905
7,0.125556,0.0386,0.0125207,0.00590206,0.0491365,480,0.24338,0.33164,26.4873,1.30149,56.1905
8,0.0706717,0.0386,0.0220555,0.00590206,0.0865551,480,0.24338,0.33164,15.0366,1.30149,56.1905
9,0.323248,0.0386,0.128129,0.00590206,0.502831,480,0.24338,0.33164,2.58833,1.30149,56.1905
10,0.125013,0.0386,0.0733726,0.00590206,0.287945,480,0.24338,0.33164,4.51994,1.30149,56.1905
11,0.226936,0.0386,0.0149385,0.00590206,0.0586249,480,0.24338,0.33164,22.2003,1.30149,56.1905
12,0.374649,0.0386,0.0289196,0.00590206,0.113493,480,0.24338,0.33164,11.4677,1.30149,56.1905
13,0.11665,0.0386,0.0294263,0.00590206,0.115481,480,0.24338,0.33164,11.2702,1.30149,56.1905
14,0.208282,0.0386,0.0350832,0.00590206,0.137681,480,0.24338,0.33164,9.45295,1.30149,56.1905
15,0.352662,0.0386,0.021071,0.00590206,0.0826914,480,0.24338,0.33164,15.7392,1.30149,56.1905
16,0.297869,0.0386,0.0252411,0.00590206,0.0990566,480,0.24338,0.33164,13.1389,1.30149,56.1905
17,0.666263,0.0386,0.0930657,0.00590206,0.365229,480,0.24338,0.33164,3.5635,1.30149,56.1905
18,0.192238,0.0386,0.00839667,0.00590206,0.032952,480,0.24338,0.33164,39.4966,1.30149,56.1905
19,0.339111,0.0386,0.0288128,0.00590206,0.113073,480,0.24338,0.33164,11.5102,1.30149,56.1905
20,0.133847,0.0386,0.0156526,0.00590206,0.0614273,480,0.24338,0.33164,21.1875,1.30149,56.1905
21,0.303438,0.0386,0.0213356,0.00590206,0.08373,480,0.24338,0.33164,15.5439,1.30149,56.1905
22,0.614792,0.0386,0.0177391,0.00590206,0.0696157,480,0.24338,0.33164,18.6954,1.30149,56.1905
23,0.1484,0.0386,0.122378,0.00590206,0.480262,480,0.24338,0.33164,2.70997,1.30149,56.1905
24,0.111904,0.0386,0.057843,0.00590206,0.227,480,0.24338,0.33164,5.73344,1.30149,56.1905
25,0.361418,0.0386,0.302895,0.00590206,1.18869,480,0.24338,0.33164,1.0949,1.30149,56.1905
26,0.285848,0.0386,0.00462683,0.00590206,0.0181576,480,0.24338,0.33164,71.6776,1.30149,56.1905
27,0.200085,0.0386,0.0205431,0.00590206,0.0806196,480,0.24338,0.33164,16.1436,1.30149,56.1905
28,0.11623,0.0386,0.0218063,0.00590206,0.085577,480,0.24338,0.33164,15.2084,1.30149,56.1905
29,0.191335,0.0386,0.0685681,0.00590206,0.26909,480,0.24338,0.33164,4.83664,1.30149,56.1905
30,0.341554,0.0386,0.00739444,0.00590206,0.0290189,480,0.24338,0.33164,44.8498,1.30149,56.1905
31,0.50544,0.0386,0.0455878,0.00590206,0.178905,480,0.24338,0.33164,7.27475,1.30149,56.1905
