PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.4008,0.0386,0.0183857,0.00701877,0.0721531,240,0.24338,0.197194,10.7254,0.773872,28.0952
1,0.401856,0.0386,0.0188815,0.00701877,0.074099,240,0.24338,0.197194,10.4438,0.773872,28.0952
2,0.418279,0.0386,0.00656975,0.00701877,0.0257824,240,0.24338,0.197194,30.0155,0.773872,28.0952
3,0.334235,0.0386,0.0720939,0.00701877,0.282927,240,0.24338,0.197194,2.73524,0.773872,28.0952
4,0.222059,0.0386,0.0121483,0.00701877,0.0476749,240,0.24338,0.197194,16.2323,0.773872,28.0952
5,0.184656,0.0386,0.0228306,0.00701877,0.0895967,240,0.24338,0.197194,8.63728,0.773872,28.0952
6,0.140955,0.0386,0.052938,0.00701877,0.207751,240,0.24338,0.197194,3.725,0.773872,28.0952
7,0.179196,0.0386,0.0414421,0.00701877,0.162636,240,0.24338,0.197194,4.75831,0.773872,28.0952
8,0.307059,0.0386,0.0496455,0.00701877,0.19483,240,0.24338,0.197194,3.97204,0.773872,28.0952
9,0.260702,0.0386,0.00647126,0.00701877,0.0253959,240,0.24338,0.197194,30.4723,0.773872,28.0952
10,0.378489,0.0386,0.0564983,0.00701877,0.221723,240,0.24338,0.197194,3.49027,0.773872,28.0952
11,0.193744,0.0386,0.026675,0.00701877,0.104684,240,0.24338,0.197194,7.39248,0.773872,28.0952
12,0.189467,0.0386,0.0266107,0.00701877,0.104432,240,0.24338,0.197194,7.41032,0.773872,28.0952
13,0.216394,0.0386,0.0137703,0.00701877,0.0540406,240,0.24338,0.197194,14.3202,0.773872,28.0952
14,0.287746,0.0386,0.0112833,0.00701877,0.0442804,240,0.24338,0.197194,17.4766,0.773872,28.0952
15,0.208674,0.0386,0.0973319,0.00701877,0.381971,240,0.24338,0.197194,2.026,0.773872,28.0952
16,0.255853,0.0386,0.0306896,0.00701877,0.120439,240,0.24338,0.197194,6.42543,0.773872,28.0952
17,0.164948,0.0386,0.679049,0.00701877,2.66487,240,0.24338,0.197194,0.290398,0.773872,28.0952
18,0.433308,0.0386,0.0342295,0.00701877,0.134331,240,0.24338,0.197194,5.76094,0.773872,28.0952
19,0.137595,0.0386,0.0467619,0.00701877,0.183513,240,0.24338,0.197194,4.21699,0.773872,28.0952
20,0.084399,0.0386,0.0218947,0.00701877,0.0859238,240,0.24338,0.197194,9.0065,0.773872,28.0952
21,0.546179,0.0386,0.0122726,0.00701877,0.0481627,240,0.24338,0.197194,16.0679,0.773872,28.0952
22,0.164672,0.0386,0.063829,0.00701877,0.250492,240,0.24338,0.197194,3.08941,0.773872,28.0952
