PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.109863,0.0386,0.00247953,0.00834678,0.00973071,120,0.24338,0.117252,47.2881,0.460147,14.0476
1,0.359753,0.0386,0.0321955,0.00834678,0.126349,120,0.24338,0.117252,3.64189,0.460147,14.0476
2,0.200058,0.0386,0.0285534,0.00834678,0.112056,120,0.24338,0.117252,4.10642,0.460147,14.0476
3,0.315608,0.0386,0.121327,0.00834678,0.476139,120,0.24338,0.117252,0.966414,0.460147,14.0476
4,0.06716,0.0386,0.0486606,0.00834678,0.190965,120,0.24338,0.117252,2.4096,0.460147,14.0476
5,0.213995,0.0386,0.0888952,0.00834678,0.348862,120,0.24338,0.117252,1.31899,0.460147,14.0476
6,0.49297,0.0386,0.144436,0.00834678,0.566827,120,0.24338,0.117252,0.811795,0.460147,14.0476
7,0.640166,0.0386,0.0976566,0.00834678,0.383245,120,0.24338,0.117252,1.20066,0.460147,14.0476
8,0.225153,0.0386,0.025049,0.00834678,0.0983027,120,0.24338,0.117252,4.68092,0.460147,14.0476
9,0.262577,0.0386,0.0157332,0.00834678,0.0617435,120,0.24338,0.117252,7.45256,0.460147,14.0476
10,0.234352,0.0386,0.0621096,0.00834678,0.243744,120,0.24338,0.117252,1.88783,0.460147,14.0476
11,0.351754,0.0386,0.0859446,0.00834678,0.337282,120,0.24338,0.117252,1.36428,0.460147,14.0476
12,0.3344,0.0386,0.0539001,0.00834678,0.211526,120,0.24338,0.117252,2.17537,0.460147,14.0476
13,0.493179,0.0386,0.203235,0.00834678,0.797579,120,0.24338,0.117252,0.57693,0.460147,14.0476
14,0.320546,0.0386,0.0125558,0.00834678,0.0492742,120,0.24338,0.117252,9.33849,0.460147,14.0476
15,0.474357,0.0386,0.202309,0.00834678,0.793945,120,0.24338,0.117252,0.579571,0.460147,14.0476
16,0.0834216,0.0386,0.113465,0.00834678,0.445283,120,0.24338,0.117252,1.03338,0.460147,14.0476
17,0.212332,0.0386,0.0326163,0.00834678,0.128,120,0.24338,0.117252,3.5949,0.460147,14.0476
18,0.0861186,0.0386,0.0587135,0.00834678,0.230417,120,0.24338,0.117252,1.99702,0.460147,14.0476
19,0.354223,0.0386,0.0358645,0.00834678,0.140747,120,0.24338,0.117252,3.26931,0.460147,14.0476
20,0.373091,0.0386,0.0125989,0.00834678,0.0494435,120,0.24338,0.117252,9.30652,0.460147,14.0476
21,0.199725,0.0386,0.0638934,0.00834678,0.250744,120,0.24338,0.117252,1.83513,0.460147,14.0476
22,0.429445,0.0386,0.0283792,0.00834678,0.111372,120,0.24338,0.117252,4.13164,0.460147,14.0476
23,0.201454,0.0386,0.00345976,0.00834678,0.0135775,120,0.24338,0.117252,33.8903,0.460147,14.0476
24,0.0325903,0.0386,0.0541303,0.00834678,0.21243,120,0.24338,0.117252,2.16611,0.460147,14.0476
25,0.425628,0.0386,0.145557,0.00834678,0.571227,120,0.24338,0.117252,0.805542,0.460147,14.0476
26,0.18808,0.0386,0.007517,0.00834678,0.0294999,120,0.24338,0.117252,15.5983,0.460147,14.0476
27,0.459049,0.0386,0.0877186,0.00834678,0.344244,120,0.24338,0.117252,1.33669,0.460147,14.0476
