PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.148875,0.0386,0.00977815,0.00558183,0.0383736,480,0.286776,0.392057,40.0952,1.53859,70.2381
1,0.544703,0.0386,0.0212169,0.00558183,0.083264,480,0.286776,0.392057,18.4785,1.53859,70.2381
2,0.138324,0.0386,0.047323,0.00558183,0.185715,480,0.286776,0.392057,8.2847,1.53859,70.2381
3,0.119099,0.0386,0.067572,0.00558183,0.265181,480,0.286776,0.392057,5.80206,1.53859,70.2381
4,0.401151,0.0386,0.00423839,0.00558183,0.0166332,480,0.286776,0.392057,92.5013,1.53859,70.2381
5,0.552773,0.0386,0.0130652,0.00558183,0.0512733,480,0.286776,0.392057,30.0077,1.53859,70.2381
6,0.404438,0.0386,0.01289,0.00558183,0.0505856,480,0.286776,0.392057,30.4157,1.53859,70.2381
7,0.27464,0.0386,0.0662757,0.00558183,0.260094,480,0.286776,0.392057,5.91554,1.53859,70.2381
8,0.310351,0.0386,0.0109287,0.00558183,0.0428887,480,0.286776,0.392057,35.8741,1.53859,70.2381
9,0.200156,0.0386,0.00971632,0.00558183,0.0381309,480,0.286776,0.392057,40.3504,1.53859,70.2381
10,0.492523,0.0386,0.111073,0.00558183,0.435896,480,0.286776,0.392057,3.52973,1.53859,70.2381
11,0.319615,0.0386,0.0261627,0.00558183,0.102673,480,0.286776,0.392057,14.9853,1.53859,70.2381
12,0.0735332,0.0386,0.00854725,0.00558183,0.033543,480,0.286776,0.392057,45.8693,1.53859,70.2381
13,0.426304,0.0386,0.00915437,0.00558183,0.0359256,480,0.286776,0.392057,42.8273,1.53859,70.2381
14,0.554636,0.0386,0.018551,0.00558183,0.0728018,480,0.286776,0.392057,21.134,1.53859,70.2381
15,0.0907486,0.0386,0.0200745,0.00558183,0.0787808,480,0.286776,0.392057,19.5301,1.53859,70.2381
16,0.34457,0.0386,0.0349753,0.00558183,0.137258,480,0.286776,0.392057,11.2095,1.53859,70.2381
17,0.498487,0.0386,0.0159025,0.00558183,0.062408,480,0.286776,0.392057,24.6538,1.53859,70.2381
18,0.106762,0.0386,0.00360707,0.00558183,0.0141556,480,0.286776,0.392057,108.691,1.53859,70.2381
19,0.362454,0.0386,0.00549215,0.00558183,0.0215535,480,0.286776,0.392057,71.385,1.53859,70.2381
20,0.251906,0.0386,0.0294848,0.00558183,0.115711,480,0.286776,0.392057,13.2969,1.53859,70.2381
21,0.258752,0.0386,0.406843,0.00558183,1.59662,480,0.286776,0.392057,0.963657,1.53859,70.2381
22,0.315162,0.0386,0.113673,0.00558183,0.446099,480,0.286776,0.392057,3.449,1.53859,70.2381
23,0.329647,0.0386,0.0175274,0.00558183,0.068785,480,0.286776,0.392057,22.3682,1.53859,70.2381
24,0.28795,0.0386,0.0128997,0.00558183,0.0506238,480,0.286776,0.392057,30.3927,1.53859,70.2381
25,0.248857,0.0386,0.0090407,0.00558183,0.0354795,480,0.286776,0.392057,43.3658,1.53859,70.2381
26,0.285411,0.0386,0.281194,0.00558183,1.10352,480,0.286776,0.392057,1.39426,1.53859,70.2381
27,0.500139,0.0386,0.0353947,0.00558183,0.138904,480,0.286776,0.392057,11.0767,1.53859,70.2381
28,0.657764,0.0386,0.00602481,0.00558183,0.0236439,480,0.286776,0.392057,65.0737,1.53859,70.2381
29,0.15428,0.0386,0.0187409,0.00558183,0.0735471,480,0.286776,0.392057,20.9199,1.53859,70.2381
30,0.233728,0.0386,0.00635677,0.00558183,0.0249466,480,0.286776,0.392057,61.6755,1.53859,70.2381
31,0.183057,0.0386,0.0175329,0.00558183,0.0688064,480,0.286776,0.392057,22.3612,1.53859,70.2381
32,0.350923,0.0386,0.00931939,0.00558183,0.0365732,480,0.286776,0.392057,42.0689,1.53859,70.2381
33,0.322307,0.0386,0.0539162,0.00558183,0.21159,480,0.286776,0.392057,7.27159,1.53859,70.2381
34,0.859024,0.0386,0.010208,0.00558183,0.0400603,480,0.286776,0.392057,38.407,1.53859,70.2381
35,0.178434,0.0386,0.114532,0.00558183,0.449472,480,0.286776,0.392057,3.42312,1.53859,70.2381
36,0.483843,0.0386,0.0739609,0.00558183,0.290254,480,0.286776,0.392057,5.30086,1.53859,70.2381
37,0.646295,0.0386,0.0201227,0.00558183,0.07897,480,0.286776,0.392057,19.4833,1.53859,70.2381
38,0.228327,0.0386,0.0750524,0.00558183,0.294537,480,0.286776,0.392057,5.22377,1.53859,70.2381
39,0.379045,0.0386,0.0449527,0.00558183,0.176413,480,0.286776,0.392057,8.72154,1.53859,70.2381
40,0.509175,0.0386,0.0078361,0.00558183,0.0307522,480,0.286776,0.392057,50.0321,1.53859,70.2381
41,0.980547,0.0386,0.042891,0.00558183,0.168322,480,0.286776,0.392057,9.14077,1.53859,70.2381
42,0.165812,0.0386,0.0291167,0.00558183,0.114266,480,0.286776,0.392057,13.465,1.53859,70.2381
43,0.357915,0.0386,0.069047,0.00558183,0.270969,480,0.286776,0.392057,5.67811,1.53859,70.2381
44,0.426882,0.0386,0.00232538,0.00558183,0.00912575,480,0.286776,0.392057,168.599,1.53859,70.2381
45,0.23447,0.0386,0.061474,0.00558183,0.24125,480,0.286776,0.392057,6.3776,1.53859,70.2381
46,0.451573,0.0386,0.01892,0.00558183,0.0742501,480,0.286776,0.392057,20.7218,1.53859,70.2381
47,0.215154,0.0386,0.00994986,0.00558183,0.0390474,480,0.286776,0.392057,39.4033,1.53859,70.2381
48,0.574035,0.0386,0.0293799,0.00558183,0.115299,480,0.286776,0.392057,13.3444,1.53859,70.2381
49,0.36894,0.0386,0.0155797,0.00558183,0.0611411,480,0.286776,0.392057,25.1647,1.53859,70.2381
50,0.105152,0.0386,0.0206115,0.00558183,0.0808883,480,0.286776,0.392057,19.0212,1.53859,70.2381
51,0.816595,0.0386,0.016841,0.00558183,0.066091,480,0.286776,0.392057,23.2799,1.53859,70.2381
52,0.190313,0.0386,0.0281058,0.00558183,0.110299,480,0.286776,0.392057,13.9493,1.53859,70.2381
53,0.137964,0.0386,0.123397,0.00558183,0.484261,480,0.286776,0.392057,3.1772,1.53859,70.2381
54,0.247657,0.0386,0.476878,0.00558183,1.87147,480,0.286776,0.392057,0.822132,1.53859,70.2381
55,0.258322,0.0386,0.106839,0.00558183,0.419281,480,0.286776,0.392057,3.6696,1.53859,70.2381
56,0.141165,0.0386,0.169426,0.00558183,0.664899,480,0.286776,0.392057,2.31403,1.53859,70.2381
