PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.201252,0.0386,0.085904,0.00590206,0.337123,480,0.24338,0.33164,3.86058,1.30149,56.1905
1,0.0992194,0.0386,0.00612341,0.00590206,0.0240308,480,0.24338,0.33164,54.1593,1.30149,56.1905
2,0.246637,0.0386,0.0256325,0.00590206,0.100592,480,0.24338,0.33164,12.9383,1.30149,56.1905
3,0.281077,0.0386,0.0121333,0.00590206,0.0476163,480,0.24338,0.33164,27.3329,1.30149,56.1905
4,0.193134,0.0386,0.221185,0.00590206,0.868021,480,0.24338,0.33164,1.49938,1.30149,56.1905
5,0.236507,0.0386,0.00298038,0.00590206,0.0116962,480,0.24338,0.33164,111.274,1.30149,56.1905
6,0.461283,0.0386,0.0218277,0.00590206,0.085661,480,0.24338,0.33164,15.1935,1.30149,56.1905
7,0.216976,0.0386,0.0102758,0.00590206,0.0403265,480,0.24338,0.33164,32.2739,1.30149,56.1905
8,0.333921,0.0386,0.00810424,0.00590206,0.0318044,480,0.24338,0.33164,40.9217,1.30149,56.1905
9,0.481096,0.0386,0.0552472,0.00590206,0.216813,480,0.24338,0.33164,6.00283,1.30149,56.1905
10,0.187998,0.0386,0.0606225,0.00590206,0.237908,480,0.24338,0.33164,5.47057,1.30149,56.1905
11,0.423953,0.0386,0.0173364,0.00590206,0.0680352,480,0.24338,0.33164,19.1297,1.30149,56.1905
12,0.111467,0.0386,0.0202274,0.00590206,0.079381,480,0.24338,0.33164,16.3955,1.30149,56.1905
13,0.144369,0.0386,0.0107099,0.00590206,0.0420301,480,0.24338,0.33164,30.9658,1.30149,56.1905
14,0.150628,0.0386,0.0388307,0.00590206,0.152388,480,0.24338,0.33164,8.54066,1.30149,56.1905
15,0.229761,0.0386,0.00719059,0.00590206,0.0282189,480,0.24338,0.33164,46.1214,1.30149,56.1905
16,0.135449,0.0386,0.0218971,0.00590206,0.0859334,480,0.24338,0.33164,15.1454,1.30149,56.1905
17,0.464427,0.0386,0.0720874,0.00590206,0.282901,480,0.24338,0.33164,4.60052,1.30149,56.1905
18,0.153716,0.0386,0.0346648,0.00590206,0.136039,480,0.24338,0.33164,9.56704,1.30149,56.1905
19,0.159767,0.0386,0.0155079,0.00590206,0.0608593,480,0.24338,0.33164,21.3853,1.30149,56.1905
20,0.316011,0.0386,0.217965,0.00590206,0.855385,480,0.24338,0.33164,1.52153,1.30149,56.1905
