PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.403663,0.0386,0.0174006,0.00834678,0.0682871,120,0.24338,0.117252,,6.73842,0.460147,14.0476
1,0.35727,0.0386,0.123305,0.00834678,0.4839,120,0.24338,0.117252,,0.950913,0.460147,14.0476
2,0.376409,0.0386,0.566534,0.00834678,2.22331,120,0.24338,0.117252,,0.206964,0.460147,14.0476
3,0.0506621,0.0386,0.0253083,0.00834678,0.0993202,120,0.24338,0.117252,,4.63297,0.460147,14.0476
4,0.251451,0.0386,0.106774,0.00834678,0.419027,120,0.24338,0.117252,,1.09813,0.460147,14.0476
5,0.644116,0.0386,0.122723,0.00834678,0.481616,120,0.24338,0.117252,,0.955423,0.460147,14.0476
6,0.235328,0.0386,0.115959,0.00834678,0.455073,120,0.24338,0.117252,,1.01115,0.460147,14.0476
7,0.133519,0.0386,0.0121097,0.00834678,0.0475235,120,0.24338,0.117252,,9.68252,0.460147,14.0476
8,0.298409,0.0386,0.171286,0.00834678,0.672199,120,0.24338,0.117252,,0.684541,0.460147,14.0476
9,0.0528225,0.0386,0.19877,0.00834678,0.780055,120,0.24338,0.117252,,0.589891,0.460147,14.0476
10,0.209649,0.0386,0.0166067,0.00834678,0.0651716,120,0.24338,0.117252,,7.06055,0.460147,14.0476
11,0.360556,0.0386,0.0544316,0.00834678,0.213612,120,0.24338,0.117252,,2.15412,0.460147,14.0476
12,0.401403,0.0386,0.121013,0.00834678,0.474907,120,0.24338,0.117252,,0.96892,0.460147,14.0476
13,0.161616,0.0386,0.0461562,0.00834678,0.181136,120,0.24338,0.117252,,2.54034,0.460147,14.0476
14,0.160237,0.0386,0.0224863,0.00834678,0.0882458,120,0.24338,0.117252,,5.21438,0.460147,14.0476
15,0.81932,0.0386,0.933057,0.00834678,3.66171,120,0.24338,0.117252,,0.125665,0.460147,14.0476
16,0.102925,0.0386,0.00388663,0.00834678,0.0152528,120,0.24338,0.117252,,30.1681,0.460147,14.0476
17,0.261876,0.0386,0.238849,0.00834678,0.937343,120,0.24338,0.117252,,0.490906,0.460147,14.0476
18,0.565202,0.0386,0.180647,0.00834678,0.708936,120,0.24338,0.117252,,0.649067,0.460147,14.0476
19,0.289652,0.0386,0.00988525,0.00834678,0.0387938,120,0.24338,0.117252,,11.8613,0.460147,14.0476
20,0.35212,0.0386,0.00879985,0.00834678,0.0345343,120,0.24338,0.117252,,13.3244,0.460147,14.0476
21,0.498959,0.0386,0.0166809,0.00834678,0.0654629,120,0.24338,0.117252,,7.02913,0.460147,14.0476
22,0.121923,0.0386,0.124747,0.00834678,0.489561,120,0.24338,0.117252,,0.939919,0.460147,14.0476
23,0.137646,0.0386,0.051483,0.00834678,0.202041,120,0.24338,0.117252,,2.2775,0.460147,14.0476
24,0.169382,0.0386,0.0482573,0.00834678,0.189382,120,0.24338,0.117252,,2.42973,0.460147,14.0476
25,0.0874907,0.0386,0.0381964,0.00834678,0.149899,120,0.24338,0.117252,,3.06972,0.460147,14.0476
26,0.55266,0.0386,0.0213567,0.00834678,0.0838127,120,0.24338,0.117252,,5.49018,0.460147,14.0476
27,0.181446,0.0386,0.0741534,0.00834678,0.291009,120,0.24338,0.117252,,1.58121,0.460147,14.0476
28,0.322496,0.0386,0.0375261,0.00834678,0.147268,120,0.24338,0.117252,,3.12455,0.460147,14.0476
29,0.236097,0.0386,0.0123225,0.00834678,0.0483586,120,0.24338,0.117252,,9.51531,0.460147,14.0476
30,0.0281928,0.0386,0.0986407,0.00834678,0.387108,120,0.24338,0.117252,,1.18868,0.460147,14.0476
31,0.265781,0.0386,0.0430565,0.00834678,0.168972,120,0.24338,0.117252,,2.72322,0.460147,14.0476
32,0.80839,0.0386,0.00872895,0.00834678,0.0342561,120,0.24338,0.117252,,13.4326,0.460147,14.0476
33,0.0809215,0.0386,0.173563,0.00834678,0.681135,120,0.24338,0.117252,,0.67556,0.460147,14.0476
34,0.226643,0.0386,0.0238532,0.00834678,0.09361,120,0.24338,0.117252,,4.91558,0.460147,14.0476
35,0.173939,0.0386,0.0318316,0.00834678,0.124921,120,0.24338,0.117252,,3.68352,0.460147,14.0476
36,0.248871,0.0386,0.00610995,0.00834678,0.023978,120,0.24338,0.117252,,19.1904,0.460147,14.0476
37,0.312038,0.0386,0.0636709,0.00834678,0.249871,120,0.24338,0.117252,,1.84154,0.460147,14.0476
38,0.0940985,0.0386,0.0668647,0.00834678,0.262405,120,0.24338,0.117252,,1.75358,0.460147,14.0476
39,0.178035,0.0386,0.267993,0.00834678,1.05172,120,0.24338,0.117252,,0.437521,0.460147,14.0476
40,0.395709,0.0386,0.0226036,0.00834678,0.0887061,120,0.24338,0.117252,,5.18733,0.460147,14.0476
41,0.0967306,0.0386,0.147925,0.00834678,0.58052,120,0.24338,0.117252,,0.792647,0.460147,14.0476
42,0.467773,0.0386,0.009378,0.00834678,0.0368032,120,0.24338,0.117252,,12.5029,0.460147,14.0476
43,0.27923,0.0386,0.154858,0.00834678,0.607729,120,0.24338,0.117252,,0.757158,0.460147,14.0476
44,0.298798,0.0386,0.0192647,0.00834678,0.0756028,120,0.24338,0.117252,,6.08638,0.460147,14.0476
45,0.140486,0.0386,0.0376854,0.00834678,0.147893,120,0.24338,0.117252,,3.11135,0.460147,14.0476
46,0.102075,0.0386,0.364534,0.00834678,1.43058,120,0.24338,0.117252,,0.32165,0.460147,14.0476
47,0.321999,0.0386,0.0348825,0.00834678,0.136893,120,0.24338,0.117252,,3.36136,0.460147,14.0476
48,0.272071,0.0386,0.0359805,0.00834678,0.141203,120,0.24338,0.117252,,3.25877,0.460147,14.0476
49,0.237576,0.0386,0.038282,0.00834678,0.150235,120,0.24338,0.117252,,3.06285,0.460147,14.0476
50,0.0963073,0.0386,0.0174559,0.00834678,0.0685041,120,0.24338,0.117252,,6.71707,0.460147,14.0476
51,0.497624,0.0386,0.0324455,0.00834678,0.12733,120,0.24338,0.117252,,3.61383,0.460147,14.0476
52,0.0933851,0.0386,0.0207018,0.00834678,0.0812426,120,0.24338,0.117252,,5.66387,0.460147,14.0476
53,0.933381,0.0386,0.0579362,0.00834678,0.227366,120,0.24338,0.117252,,2.02382,0.460147,14.0476
54,0.202436,0.0386,0.0756107,0.00834678,0.296728,120,0.24338,0.117252,,1.55074,0.460147,14.0476
55,0.304295,0.0386,0.0117101,0.00834678,0.0459554,120,0.24338,0.117252,,10.0129,0.460147,14.0476
56,0.133693,0.0386,0.121954,0.00834678,0.478598,120,0.24338,0.117252,,0.961448,0.460147,14.0476
