PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.251978,0.0386,0.262284,0.00701877,1.02931,240,0.24338,0.197194,,0.751834,0.773872,28.0952
1,0.237964,0.0386,0.0646644,0.00701877,0.25377,240,0.24338,0.197194,,3.0495,0.773872,28.0952
2,0.253047,0.0386,0.106517,0.00701877,0.418017,240,0.24338,0.197194,,1.85129,0.773872,28.0952
3,0.615917,0.0386,0.038825,0.00701877,0.152365,240,0.24338,0.197194,,5.07906,0.773872,28.0952
4,0.0313982,0.0386,0.0586505,0.00701877,0.230169,240,0.24338,0.197194,,3.36219,0.773872,28.0952
5,0.339666,0.0386,0.0184518,0.00701877,0.0724124,240,0.24338,0.197194,,10.687,0.773872,28.0952
6,0.691539,0.0386,0.02706,0.00701877,0.106195,240,0.24338,0.197194,,7.2873,0.773872,28.0952
7,0.223237,0.0386,0.0601823,0.00701877,0.236181,240,0.24338,0.197194,,3.27661,0.773872,28.0952
8,0.125463,0.0386,0.0118542,0.00701877,0.0465208,240,0.24338,0.197194,,16.635,0.773872,28.0952
9,0.243332,0.0386,0.0455496,0.00701877,0.178756,240,0.24338,0.197194,,4.32922,0.773872,28.0952
10,0.42162,0.0386,0.0490453,0.00701877,0.192474,240,0.24338,0.197194,,4.02065,0.773872,28.0952
11,0.0561584,0.0386,0.00960034,0.00701877,0.0376757,240,0.24338,0.197194,,20.5403,0.773872,28.0952
12,0.159837,0.0386,0.0346318,0.00701877,0.13591,240,0.24338,0.197194,,5.69402,0.773872,28.0952
13,0.270238,0.0386,0.140637,0.00701877,0.551917,240,0.24338,0.197194,,1.40215,0.773872,28.0952
14,0.899353,0.0386,0.00680757,0.00701877,0.0267158,240,0.24338,0.197194,,28.9669,0.773872,28.0952
15,0.405616,0.0386,0.0670156,0.00701877,0.262997,240,0.24338,0.197194,,2.94251,0.773872,28.0952
16,0.290139,0.0386,0.0121639,0.00701877,0.0477364,240,0.24338,0.197194,,16.2114,0.773872,28.0952
17,0.395595,0.0386,0.0244083,0.00701877,0.0957885,240,0.24338,0.197194,,8.07897,0.773872,28.0952
18,0.269379,0.0386,0.0382998,0.00701877,0.150304,240,0.24338,0.197194,,5.14871,0.773872,28.0952
19,0.759753,0.0386,0.00666629,0.00701877,0.0261613,240,0.24338,0.197194,,29.5808,0.773872,28.0952
