PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
54,0.542076,0.0386,0.00862551,0.00590206,0.0338501,480,0.24338,0.33164,,38.4487,1.30149,56.1905
55,0.713118,0.0386,0.036032,0.00590206,0.141405,480,0.24338,0.33164,,9.20402,1.30149,56.1905
56,0.300531,0.0386,0.0607193,0.00590206,0.238288,480,0.24338,0.33164,,5.46185,1.30149,56.1905
57,0.14827,0.0386,0.261955,0.00590206,1.02802,480,0.24338,0.33164,,1.26602,1.30149,56.1905
58,0.403348,0.0386,0.041298,0.00590206,0.162071,480,0.24338,0.33164,,8.0304,1.30149,56.1905
59,0.121514,0.0386,0.0323782,0.00590206,0.127066,480,0.24338,0.33164,,10.2427,1.30149,56.1905
60,0.366531,0.0386,0.0413669,0.00590206,0.162341,480,0.24338,0.33164,,8.01702,1.30149,56.1905
61,0.134318,0.0386,0.00199824,0.00590206,0.00784194,480,0.24338,0.33164,,165.966,1.30149,56.1905
62,0.453869,0.0386,0.147367,0.00590206,0.578328,480,0.24338,0.33164,,2.25044,1.30149,56.1905
63,0.163501,0.0386,0.00841351,0.00590206,0.0330182,480,0.24338,0.33164,,39.4175,1.30149,56.1905
64,0.122626,0.0386,0.00556884,0.00590206,0.0218545,480,0.24338,0.33164,,59.5527,1.30149,56.1905
65,0.281891,0.0386,0.0320389,0.00590206,0.125734,480,0.24338,0.33164,,10.3511,1.30149,56.1905
66,0.371456,0.0386,0.00735948,0.00590206,0.0288817,480,0.24338,0.33164,,45.0629,1.30149,56.1905
67,0.112604,0.0386,0.0883356,0.00590206,0.346666,480,0.24338,0.33164,,3.75432,1.30149,56.1905
68,0.304291,0.0386,0.00409885,0.00590206,0.0160856,480,0.24338,0.33164,,80.9104,1.30149,56.1905
69,0.248094,0.0386,0.0365647,0.00590206,0.143495,480,0.24338,0.33164,,9.06995,1.30149,56.1905
70,0.183299,0.0386,0.258694,0.00590206,1.01523,480,0.24338,0.33164,,1.28197,1.30149,56.1905
71,0.214638,0.0386,0.405439,0.00590206,1.59111,480,0.24338,0.33164,,0.817977,1.30149,56.1905
72,0.274519,0.0386,0.163989,0.00590206,0.64356,480,0.24338,0.33164,,2.02233,1.30149,56.1905
73,0.533378,0.0386,0.00780281,0.00590206,0.0306215,480,0.24338,0.33164,,42.5026,1.30149,56.1905
74,0.270482,0.0386,0.0239822,0.00590206,0.0941162,480,0.24338,0.33164,,13.8286,1.30149,56.1905
75,0.156677,0.0386,0.232063,0.00590206,0.910713,480,0.24338,0.33164,,1.42909,1.30149,56.1905
76,0.230974,0.0386,0.0426243,0.00590206,0.167276,480,0.24338,0.33164,,7.78052,1.30149,56.1905
77,0.246055,0.0386,0.0608182,0.00590206,0.238676,480,0.24338,0.33164,,5.45297,1.30149,56.1905
78,0.256936,0.0386,0.0159076,0.00590206,0.0624279,480,0.24338,0.33164,,20.8479,1.30149,56.1905
79,0.147136,0.0386,0.0291062,0.00590206,0.114225,480,0.24338,0.33164,,11.3941,1.30149,56.1905
80,0.195303,0.0386,0.0122592,0.00590206,0.0481103,480,0.24338,0.33164,,27.0522,1.30149,56.1905
