PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.247572,0.0386,0.00922077,0.00634218,0.0361862,360,0.24338,0.267278,,28.9865,1.04891,42.1429
1,0.0729365,0.0386,0.0307527,0.00634218,0.120687,360,0.24338,0.267278,,8.69117,1.04891,42.1429
2,0.213882,0.0386,0.00252478,0.00634218,0.0099083,360,0.24338,0.267278,,105.862,1.04891,42.1429
3,0.109318,0.0386,0.0157059,0.00634218,0.0616364,360,0.24338,0.267278,,17.0177,1.04891,42.1429
4,0.473485,0.0386,0.0125783,0.00634218,0.0493624,360,0.24338,0.267278,,21.2492,1.04891,42.1429
5,0.101052,0.0386,0.108971,0.00634218,0.427647,360,0.24338,0.267278,,2.45274,1.04891,42.1429
6,0.406304,0.0386,0.0328321,0.00634218,0.128847,360,0.24338,0.267278,,8.14075,1.04891,42.1429
7,0.231138,0.0386,0.35055,0.00634218,1.3757,360,0.24338,0.267278,,0.762453,1.04891,42.1429
8,0.61993,0.0386,0.0180155,0.00634218,0.0707005,360,0.24338,0.267278,,14.8359,1.04891,42.1429
9,0.0939088,0.0386,0.017706,0.00634218,0.0694856,360,0.24338,0.267278,,15.0953,1.04891,42.1429
10,0.237461,0.0386,0.0276851,0.00634218,0.108648,360,0.24338,0.267278,,9.65419,1.04891,42.1429
11,0.634942,0.0386,0.128432,0.00634218,0.504019,360,0.24338,0.267278,,2.08109,1.04891,42.1429
12,0.21444,0.0386,0.0283055,0.00634218,0.111083,360,0.24338,0.267278,,9.4426,1.04891,42.1429
13,0.232639,0.0386,0.053869,0.00634218,0.211405,360,0.24338,0.267278,,4.96162,1.04891,42.1429
14,0.285869,0.0386,0.053576,0.00634218,0.210255,360,0.24338,0.267278,,4.98875,1.04891,42.1429
15,0.204231,0.0386,0.0167038,0.00634218,0.0655526,360,0.24338,0.267278,,16.001,1.04891,42.1429
16,0.262822,0.0386,0.0291205,0.00634218,0.114281,360,0.24338,0.267278,,9.17832,1.04891,42.1429
17,0.0792235,0.0386,0.0671913,0.00634218,0.263687,360,0.24338,0.267278,,3.97786,1.04891,42.1429
18,0.475789,0.0386,0.116704,0.00634218,0.457994,360,0.24338,0.267278,,2.29022,1.04891,42.1429
19,0.147079,0.0386,0.00664537,0.00634218,0.0260792,360,0.24338,0.267278,,40.2201,1.04891,42.1429
20,0.156473,0.0386,0.042112,0.00634218,0.165265,360,0.24338,0.267278,,6.34683,1.04891,42.1429
21,0.13593,0.0386,0.0096202,0.00634218,0.0377537,360,0.24338,0.267278,,27.7829,1.04891,42.1429
22,0.261617,0.0386,0.0108173,0.00634218,0.0424515,360,0.24338,0.267278,,24.7084,1.04891,42.1429
23,0.209714,0.0386,0.0685117,0.00634218,0.268869,360,0.24338,0.267278,,3.90119,1.04891,42.1429
24,0.293774,0.0386,0.0527773,0.00634218,0.20712,360,0.24338,0.267278,,5.06425,1.04891,42.1429
25,0.291004,0.0386,0.0659734,0.00634218,0.258907,360,0.24338,0.267278,,4.05129,1.04891,42.1429
26,0.545432,0.0386,0.00935503,0.00634218,0.0367131,360,0.24338,0.267278,,28.5704,1.04891,42.1429
27,0.345378,0.0386,0.0419892,0.00634218,0.164783,360,0.24338,0.267278,,6.36538,1.04891,42.1429
28,0.182138,0.0386,0.0235637,0.00634218,0.0924737,360,0.24338,0.267278,,11.3428,1.04891,42.1429
29,0.356983,0.0386,0.0372784,0.00634218,0.146296,360,0.24338,0.267278,,7.16977,1.04891,42.1429
30,0.170204,0.0386,0.0502308,0.00634218,0.197127,360,0.24338,0.267278,,5.32098,1.04891,42.1429
31,0.203449,0.0386,0.0338968,0.00634218,0.133025,360,0.24338,0.267278,,7.88504,1.04891,42.1429
32,0.140457,0.0386,0.0346734,0.00634218,0.136073,360,0.24338,0.267278,,7.70842,1.04891,42.1429
33,0.501871,0.0386,0.0187614,0.00634218,0.0736276,360,0.24338,0.267278,,14.2461,1.04891,42.1429
