ec50_lum,efficacy
30.0,97.118
33.46938775510204,96.508
36.93877551020408,95.354
40.40816326530612,94.842
43.87755102040816,94.026
47.3469387755102,93.098
50.816326530612244,91.902
54.285714285714285,91.134
57.755102040816325,89.94
61.224489795918366,88.89
64.6938775510204,87.45400000000001
68.16326530612244,86.834
71.63265306122449,86.038
75.10204081632654,85.024
78.57142857142857,83.58
82.0408163265306,82.318
85.51020408163265,82.27
88.9795918367347,80.618
92.44897959183673,80.184
95.91836734693877,78.86
99.38775510204081,78.106
102.85714285714286,76.87
106.3265306122449,75.702
109.79591836734693,74.782
113.26530612244898,73.722
116.73469387755102,72.892
120.20408163265306,72.33
123.67346938775509,70.976
127.14285714285714,69.962
130.6122448979592,69.538
134.0816326530612,68.678
137.55102040816325,67.738
141.0204081632653,66.644
144.48979591836735,65.932
147.9591836734694,65.114
151.42857142857142,63.742
154.89795918367346,63.124
158.3673469387755,62.226
161.83673469387753,61.726
165.30612244897958,61.04
168.77551020408163,60.474
172.24489795918367,59.772
175.71428571428572,58.458
179.18367346938774,58.07
182.6530612244898,57.282
186.12244897959184,56.158
189.59183673469386,55.94
193.0612244897959,55.01
196.53061224489795,54.02
200.0,53.496
