pmax_lum,efficacy
0.5,97.72
0.5101938775510204,97.74
0.5203877551020408,97.76
0.5305816326530612,97.52
0.5407755102040817,97.48
0.5509693877551021,97.22
0.5611632653061225,97.68
0.5713571428571429,97.78
0.5815510204081633,97.56
0.5917448979591837,97.8
0.6019387755102041,97.68
0.6121326530612246,97.68
0.622326530612245,97.8
0.6325204081632654,97.42
0.6427142857142857,97.44
0.6529081632653061,97.36
0.6631020408163265,97.76
0.6732959183673469,97.82
0.6834897959183673,97.48
0.6936836734693878,97.48
0.7038775510204082,97.46
0.7140714285714286,97.7
0.724265306122449,97.28
0.7344591836734694,97.82
0.7446530612244898,97.5
0.7548469387755102,97.8
0.7650408163265306,97.36
0.775234693877551,97.78
0.7854285714285714,97.22
0.7956224489795918,97.18
0.8058163265306122,97.86
0.8160102040816326,97.52
0.826204081632653,97.56
0.8363979591836734,97.62
0.8465918367346938,98.02
0.8567857142857143,97.92
0.8669795918367347,97.7
0.8771734693877551,97.96
0.8873673469387755,97.9
0.8975612244897959,97.86
0.9077551020408163,97.32
0.9179489795918367,97.8
0.9281428571428572,97.58
0.9383367346938776,97.56
0.948530612244898,97.34
0.9587244897959184,97.9
0.9689183673469388,97.98
0.9791122448979592,97.52
0.9893061224489796,97.5
0.9995,98.0
