ec50_lum,efficacy
30.0,97.48
33.46938775510204,96.58
36.93877551020408,95.8
40.40816326530612,94.84
43.87755102040816,94.12
47.3469387755102,93.46
50.816326530612244,91.92
54.285714285714285,91.28
57.755102040816325,90.42
61.224489795918366,88.8
64.6938775510204,88.1
68.16326530612244,86.03999999999999
71.63265306122449,86.12
75.10204081632654,85.44
78.57142857142857,83.32
82.0408163265306,82.25999999999999
85.51020408163265,81.28
88.9795918367347,81.84
92.44897959183673,80.08
95.91836734693877,78.46000000000001
99.38775510204081,78.06
102.85714285714286,76.7
106.3265306122449,77.42
109.79591836734693,74.92
113.26530612244898,74.24000000000001
116.73469387755102,72.8
120.20408163265306,71.82
123.67346938775509,71.5
127.14285714285714,69.56
130.6122448979592,69.44
134.0816326530612,66.9
137.55102040816325,67.14
141.0204081632653,66.38
144.48979591836735,66.58
147.9591836734694,64.88
151.42857142857142,64.84
154.89795918367346,64.16
158.3673469387755,62.04
161.83673469387753,62.3
165.30612244897958,61.58
168.77551020408163,60.120000000000005
172.24489795918367,60.64
175.71428571428572,58.62
179.18367346938774,58.160000000000004
182.6530612244898,56.4
186.12244897959184,56.22
189.59183673469386,54.04
193.0612244897959,53.58
196.53061224489795,53.699999999999996
200.0,53.4
