,pmax_lum,EC50_lum,Efficacy (%)
153,0.6248750000000001,77.5,96.5
203,0.6665,77.5,96.54
329,0.7705625,83.33333333333333,96.5
378,0.8121875000000001,77.5,96.52
429,0.8538125000000001,83.33333333333333,96.54
453,0.874625,77.5,96.6
455,0.874625,89.16666666666666,96.52
604,0.9995,83.33333333333333,96.56
