PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
398,0.660531,0.0386,0.012929,0.00583051,0.0507389,480,0,0.327619,25.3398,1.28571,56.1905
399,1.3474,0.0386,0.0187209,0.00583051,0.0734688,480,0,0.327619,17.5001,1.28571,56.1905
400,0.823758,0.0386,0.0311009,0.00583051,0.122053,480,0,0.327619,10.5341,1.28571,56.1905
401,0.417063,0.0386,0.0425128,0.00583051,0.166838,480,0,0.327619,7.70636,1.28571,56.1905
402,0.735777,0.0386,0.0410754,0.00583051,0.161197,480,0,0.327619,7.97604,1.28571,56.1905
403,0.834769,0.0386,0.00662899,0.00583051,0.0260149,480,0,0.327619,49.4222,1.28571,56.1905
404,0.421548,0.0386,0.0227817,0.00583051,0.0894048,480,0,0.327619,14.3808,1.28571,56.1905
405,0.506763,0.0386,0.0190188,0.00583051,0.0746379,480,0,0.327619,17.226,1.28571,56.1905
406,1.7058,0.0386,0.032377,0.00583051,0.127061,480,0,0.327619,10.1189,1.28571,56.1905
407,1.18415,0.0386,0.0314858,0.00583051,0.123563,480,0,0.327619,10.4053,1.28571,56.1905
408,0.833213,0.0386,0.0172647,0.00583051,0.0677537,480,0,0.327619,18.9763,1.28571,56.1905
409,0.946299,0.0386,0.0218125,0.00583051,0.0856015,480,0,0.327619,15.0198,1.28571,56.1905
410,0.880028,0.0386,0.118413,0.00583051,0.4647,480,0,0.327619,2.76676,1.28571,56.1905
411,0.701573,0.0386,0.0340997,0.00583051,0.133821,480,0,0.327619,9.60769,1.28571,56.1905
412,0.681137,0.0386,0.00587863,0.00583051,0.0230702,480,0,0.327619,55.7305,1.28571,56.1905
413,0.411551,0.0386,0.0655356,0.00583051,0.257189,480,0,0.327619,4.9991,1.28571,56.1905
414,0.517254,0.0386,0.0500818,0.00583051,0.196542,480,0,0.327619,6.54167,1.28571,56.1905
415,0.661024,0.0386,0.0333652,0.00583051,0.130939,480,0,0.327619,9.81918,1.28571,56.1905
416,0.858989,0.0386,0.0129013,0.00583051,0.05063,480,0,0.327619,25.3943,1.28571,56.1905
417,1.03461,0.0386,0.0170905,0.00583051,0.0670701,480,0,0.327619,19.1697,1.28571,56.1905
418,1.88058,0.0386,0.00797054,0.00583051,0.0312797,480,0,0.327619,41.1037,1.28571,56.1905
419,0.378696,0.0386,0.0598911,0.00583051,0.235038,480,0,0.327619,5.47024,1.28571,56.1905
