PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
284,0.348989,0.0386,0.0638716,0.00558183,0.261826,480,0,0.392057,6.1382,1.60714,70.2381
285,0.364149,0.0386,0.0427806,0.00558183,0.175369,480,0,0.392057,9.16435,1.60714,70.2381
286,0.283596,0.0386,0.0619702,0.00558183,0.254032,480,0,0.392057,6.32654,1.60714,70.2381
287,0.466085,0.0386,0.0507552,0.00558183,0.208059,480,0,0.392057,7.72446,1.60714,70.2381
288,0.318653,0.0386,0.0115842,0.00558183,0.0474866,480,0,0.392057,33.8441,1.60714,70.2381
289,0.235899,0.0386,0.0522786,0.00558183,0.214304,480,0,0.392057,7.49937,1.60714,70.2381
290,0.317853,0.0386,0.0120862,0.00558183,0.0495446,480,0,0.392057,32.4383,1.60714,70.2381
291,0.22521,0.0386,0.0795328,0.00558183,0.326025,480,0,0.392057,4.9295,1.60714,70.2381
292,0.538006,0.0386,0.00417863,0.00558183,0.0171293,480,0,0.392057,93.8242,1.60714,70.2381
293,0.322541,0.0386,0.129324,0.00558183,0.530131,480,0,0.392057,3.0316,1.60714,70.2381
294,0.371367,0.0386,0.00230794,0.00558183,0.00946083,480,0,0.392057,169.873,1.60714,70.2381
295,0.416274,0.0386,0.0769115,0.00558183,0.31528,480,0,0.392057,5.09751,1.60714,70.2381
296,0.676937,0.0386,0.0183656,0.00558183,0.0752855,480,0,0.392057,21.3473,1.60714,70.2381
297,0.208657,0.0386,0.0105887,0.00558183,0.0434056,480,0,0.392057,37.0261,1.60714,70.2381
298,0.484395,0.0386,0.0250539,0.00558183,0.102703,480,0,0.392057,15.6485,1.60714,70.2381
299,0.39983,0.0386,0.0814148,0.00558183,0.333741,480,0,0.392057,4.81555,1.60714,70.2381
300,0.127374,0.0386,0.00985428,0.00558183,0.0403953,480,0,0.392057,39.7854,1.60714,70.2381
301,0.273707,0.0386,0.0204922,0.00558183,0.0840029,480,0,0.392057,19.132,1.60714,70.2381
302,0.577303,0.0386,0.0471935,0.00558183,0.193459,480,0,0.392057,8.30743,1.60714,70.2381
303,0.595519,0.0386,0.00894204,0.00558183,0.0366557,480,0,0.392057,43.8442,1.60714,70.2381
304,0.429048,0.0386,0.0298443,0.00558183,0.12234,480,0,0.392057,13.1367,1.60714,70.2381
305,0.170797,0.0386,0.038596,0.00558183,0.158215,480,0,0.392057,10.158,1.60714,70.2381
306,0.370441,0.0386,0.0369636,0.00558183,0.151524,480,0,0.392057,10.6066,1.60714,70.2381
