PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.233084,0.0386,0.0191072,0.00558183,0.0749846,480,0.286776,0.392057,20.5188,1.53859,70.2381
1,0.0898759,0.0386,0.0147125,0.00558183,0.0577379,480,0.286776,0.392057,26.6479,1.53859,70.2381
2,0.268419,0.0386,0.0633313,0.00558183,0.248539,480,0.286776,0.392057,6.19057,1.53859,70.2381
3,0.328632,0.0386,0.138015,0.00558183,0.541627,480,0.286776,0.392057,2.84069,1.53859,70.2381
4,0.371388,0.0386,0.0605571,0.00558183,0.237651,480,0.286776,0.392057,6.47417,1.53859,70.2381
5,0.236292,0.0386,0.0292446,0.00558183,0.114768,480,0.286776,0.392057,13.4061,1.53859,70.2381
6,0.156028,0.0386,0.0130239,0.00558183,0.0511112,480,0.286776,0.392057,30.1029,1.53859,70.2381
7,0.579782,0.0386,0.00554293,0.00558183,0.0217528,480,0.286776,0.392057,70.7309,1.53859,70.2381
8,0.393205,0.0386,0.00803398,0.00558183,0.0315287,480,0.286776,0.392057,48.7998,1.53859,70.2381
9,0.452536,0.0386,0.00551198,0.00558183,0.0216313,480,0.286776,0.392057,71.1281,1.53859,70.2381
10,0.326979,0.0386,0.0698694,0.00558183,0.274197,480,0.286776,0.392057,5.61128,1.53859,70.2381
11,0.205881,0.0386,0.24071,0.00558183,0.944647,480,0.286776,0.392057,1.62875,1.53859,70.2381
12,0.32606,0.0386,0.13456,0.00558183,0.52807,480,0.286776,0.392057,2.91362,1.53859,70.2381
13,0.384714,0.0386,0.0231058,0.00558183,0.0906769,480,0.286776,0.392057,16.9679,1.53859,70.2381
14,0.365317,0.0386,0.196261,0.00558183,0.770212,480,0.286776,0.392057,1.99763,1.53859,70.2381
15,0.388263,0.0386,0.0146485,0.00558183,0.0574868,480,0.286776,0.392057,26.7643,1.53859,70.2381
16,0.331777,0.0386,0.0406284,0.00558183,0.159443,480,0.286776,0.392057,9.64982,1.53859,70.2381
17,0.308465,0.0386,0.0209196,0.00558183,0.0820974,480,0.286776,0.392057,18.7411,1.53859,70.2381
18,0.154382,0.0386,0.0107069,0.00558183,0.0420184,480,0.286776,0.392057,36.6172,1.53859,70.2381
19,0.138588,0.0386,0.0475461,0.00558183,0.186591,480,0.286776,0.392057,8.24583,1.53859,70.2381
20,0.42412,0.0386,0.106213,0.00558183,0.416823,480,0.286776,0.392057,3.69124,1.53859,70.2381
21,0.188855,0.0386,0.100759,0.00558183,0.395421,480,0.286776,0.392057,3.89103,1.53859,70.2381
22,0.867714,0.0386,0.0602409,0.00558183,0.23641,480,0.286776,0.392057,6.50815,1.53859,70.2381
23,0.175805,0.0386,0.136081,0.00558183,0.534037,480,0.286776,0.392057,2.88106,1.53859,70.2381
24,0.157935,0.0386,0.0206822,0.00558183,0.0811656,480,0.286776,0.392057,18.9562,1.53859,70.2381
25,0.362124,0.0386,0.0795401,0.00558183,0.312149,480,0.286776,0.392057,4.92905,1.53859,70.2381
26,0.379143,0.0386,0.0133406,0.00558183,0.0523541,480,0.286776,0.392057,29.3882,1.53859,70.2381
27,0.992855,0.0386,0.119136,0.00558183,0.467541,480,0.286776,0.392057,3.29082,1.53859,70.2381
28,0.165328,0.0386,0.0238797,0.00558183,0.093714,480,0.286776,0.392057,16.418,1.53859,70.2381
29,0.119307,0.0386,0.0437405,0.00558183,0.171656,480,0.286776,0.392057,8.96325,1.53859,70.2381
30,0.654261,0.0386,0.286772,0.00558183,1.12541,480,0.286776,0.392057,1.36714,1.53859,70.2381
31,0.534283,0.0386,0.0700833,0.00558183,0.275036,480,0.286776,0.392057,5.59415,1.53859,70.2381
32,0.149426,0.0386,0.0110978,0.00558183,0.0435523,480,0.286776,0.392057,35.3275,1.53859,70.2381
