PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.309344,0.0386,0.0526938,0.00634218,0.206793,360,0.24338,0.267278,5.07227,1.04891,42.1429
1,0.268728,0.0386,0.114262,0.00634218,0.448414,360,0.24338,0.267278,2.33916,1.04891,42.1429
2,0.56745,0.0386,0.0308263,0.00634218,0.120975,360,0.24338,0.267278,8.67043,1.04891,42.1429
3,0.297015,0.0386,0.0525773,0.00634218,0.206335,360,0.24338,0.267278,5.08351,1.04891,42.1429
4,0.0868012,0.0386,0.125469,0.00634218,0.492394,360,0.24338,0.267278,2.13022,1.04891,42.1429
5,0.4477,0.0386,0.0376703,0.00634218,0.147834,360,0.24338,0.267278,7.09518,1.04891,42.1429
6,0.177393,0.0386,0.300293,0.00634218,1.17848,360,0.24338,0.267278,0.890056,1.04891,42.1429
7,0.468754,0.0386,0.0450312,0.00634218,0.176721,360,0.24338,0.267278,5.93539,1.04891,42.1429
8,0.234138,0.0386,0.0479874,0.00634218,0.188322,360,0.24338,0.267278,5.56975,1.04891,42.1429
9,0.464557,0.0386,0.0212122,0.00634218,0.0832457,360,0.24338,0.267278,12.6002,1.04891,42.1429
10,0.305472,0.0386,0.00317577,0.00634218,0.012463,360,0.24338,0.267278,84.1615,1.04891,42.1429
11,0.240392,0.0386,0.0982656,0.00634218,0.385635,360,0.24338,0.267278,2.71995,1.04891,42.1429
12,0.179717,0.0386,0.0244065,0.00634218,0.0957814,360,0.24338,0.267278,10.9511,1.04891,42.1429
13,0.467998,0.0386,0.00225941,0.00634218,0.00886689,360,0.24338,0.267278,118.295,1.04891,42.1429
14,0.119658,0.0386,0.0115448,0.00634218,0.0453065,360,0.24338,0.267278,23.1514,1.04891,42.1429
15,0.345698,0.0386,0.0173657,0.00634218,0.0681502,360,0.24338,0.267278,15.3911,1.04891,42.1429
16,0.0635296,0.0386,0.0542853,0.00634218,0.213038,360,0.24338,0.267278,4.92357,1.04891,42.1429
17,0.0528332,0.0386,0.00957621,0.00634218,0.037581,360,0.24338,0.267278,27.9106,1.04891,42.1429
18,0.0855573,0.0386,0.00869827,0.00634218,0.0341357,360,0.24338,0.267278,30.7277,1.04891,42.1429
19,0.282049,0.0386,0.0177299,0.00634218,0.0695796,360,0.24338,0.267278,15.0749,1.04891,42.1429
20,0.0675851,0.0386,0.021402,0.00634218,0.0839905,360,0.24338,0.267278,12.4884,1.04891,42.1429
21,0.626794,0.0386,0.00645701,0.00634218,0.02534,360,0.24338,0.267278,41.3934,1.04891,42.1429
22,0.281031,0.0386,0.02001,0.00634218,0.0785275,360,0.24338,0.267278,13.3572,1.04891,42.1429
23,0.0545414,0.0386,0.0173264,0.00634218,0.0679961,360,0.24338,0.267278,15.426,1.04891,42.1429
24,0.318965,0.0386,0.0691647,0.00634218,0.271431,360,0.24338,0.267278,3.86436,1.04891,42.1429
25,0.539491,0.0386,0.011437,0.00634218,0.0448837,360,0.24338,0.267278,23.3695,1.04891,42.1429
26,0.600688,0.0386,0.0081066,0.00634218,0.0318137,360,0.24338,0.267278,32.9704,1.04891,42.1429
27,0.166137,0.0386,0.00352465,0.00634218,0.0138322,360,0.24338,0.267278,75.8309,1.04891,42.1429
28,0.408507,0.0386,0.0178586,0.00634218,0.0700846,360,0.24338,0.267278,14.9663,1.04891,42.1429
29,0.448782,0.0386,0.0110479,0.00634218,0.0433567,360,0.24338,0.267278,24.1925,1.04891,42.1429
30,0.275886,0.0386,0.031457,0.00634218,0.12345,360,0.24338,0.267278,8.49661,1.04891,42.1429
31,0.736287,0.0386,0.0548582,0.00634218,0.215287,360,0.24338,0.267278,4.87215,1.04891,42.1429
32,0.406079,0.0386,0.0138625,0.00634218,0.0544023,360,0.24338,0.267278,19.2806,1.04891,42.1429
33,0.298206,0.0386,0.0239208,0.00634218,0.0938753,360,0.24338,0.267278,11.1734,1.04891,42.1429
34,0.253377,0.0386,0.0208485,0.00634218,0.0818184,360,0.24338,0.267278,12.82,1.04891,42.1429
35,0.119738,0.0386,0.0875497,0.00634218,0.343582,360,0.24338,0.267278,3.05287,1.04891,42.1429
36,0.281647,0.0386,0.0107304,0.00634218,0.0421106,360,0.24338,0.267278,24.9085,1.04891,42.1429
37,0.143931,0.0386,0.069508,0.00634218,0.272779,360,0.24338,0.267278,3.84528,1.04891,42.1429
38,0.189993,0.0386,0.0175513,0.00634218,0.0688787,360,0.24338,0.267278,15.2284,1.04891,42.1429
39,0.100639,0.0386,0.0250283,0.00634218,0.0982216,360,0.24338,0.267278,10.679,1.04891,42.1429
40,0.620182,0.0386,0.0731376,0.00634218,0.287022,360,0.24338,0.267278,3.65445,1.04891,42.1429
41,0.282069,0.0386,0.0774769,0.00634218,0.304052,360,0.24338,0.267278,3.44977,1.04891,42.1429
42,0.169342,0.0386,0.0160784,0.00634218,0.0630983,360,0.24338,0.267278,16.6234,1.04891,42.1429
43,0.0719414,0.0386,0.0251817,0.00634218,0.0988237,360,0.24338,0.267278,10.6139,1.04891,42.1429
44,0.19373,0.0386,0.0819952,0.00634218,0.321783,360,0.24338,0.267278,3.25967,1.04891,42.1429
45,0.540075,0.0386,0.067514,0.00634218,0.264953,360,0.24338,0.267278,3.95884,1.04891,42.1429
46,0.481294,0.0386,0.00674148,0.00634218,0.0264564,360,0.24338,0.267278,39.6467,1.04891,42.1429
47,0.332847,0.0386,0.0295028,0.00634218,0.115782,360,0.24338,0.267278,9.05938,1.04891,42.1429
48,0.0754477,0.0386,0.0251244,0.00634218,0.0985987,360,0.24338,0.267278,10.6382,1.04891,42.1429
49,0.192107,0.0386,0.0527187,0.00634218,0.20689,360,0.24338,0.267278,5.06988,1.04891,42.1429
50,0.393584,0.0386,0.0086146,0.00634218,0.0338073,360,0.24338,0.267278,31.0261,1.04891,42.1429
51,0.152373,0.0386,0.0513894,0.00634218,0.201674,360,0.24338,0.267278,5.20102,1.04891,42.1429
52,0.650085,0.0386,0.0365614,0.00634218,0.143482,360,0.24338,0.267278,7.31037,1.04891,42.1429
