PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
346,1.15772,0.0386,0.14403,0.00583051,0.565233,360,0,0.245714,1.706,0.964286,42.1429
347,1.7804,0.0386,0.0098773,0.00583051,0.0387626,360,0,0.245714,24.8767,0.964286,42.1429
348,0.405311,0.0386,0.026207,0.00583051,0.102847,360,0,0.245714,9.37589,0.964286,42.1429
349,0.636992,0.0386,0.00405771,0.00583051,0.0159242,360,0,0.245714,60.5549,0.964286,42.1429
350,0.997735,0.0386,0.0228307,0.00583051,0.0895972,360,0,0.245714,10.7624,0.964286,42.1429
351,1.9388,0.0386,0.0564078,0.00583051,0.221368,360,0,0.245714,4.35604,0.964286,42.1429
352,0.939657,0.0386,0.0109712,0.00583051,0.0430557,360,0,0.245714,22.3962,0.964286,42.1429
353,0.24814,0.0386,0.339241,0.00583051,1.33132,360,0,0.245714,0.724305,0.964286,42.1429
354,0.771825,0.0386,0.00525263,0.00583051,0.0206135,360,0,0.245714,46.7793,0.964286,42.1429
355,0.373511,0.0386,0.0801634,0.00583051,0.314595,360,0,0.245714,3.06517,0.964286,42.1429
356,0.277012,0.0386,0.081686,0.00583051,0.32057,360,0,0.245714,3.00803,0.964286,42.1429
357,1.58359,0.0386,0.0212964,0.00583051,0.0835761,360,0,0.245714,11.5378,0.964286,42.1429
358,0.349633,0.0386,0.0454598,0.00583051,0.178403,360,0,0.245714,5.40508,0.964286,42.1429
359,1.47128,0.0386,0.0621463,0.00583051,0.243888,360,0,0.245714,3.9538,0.964286,42.1429
360,0.877293,0.0386,0.141624,0.00583051,0.555793,360,0,0.245714,1.73497,0.964286,42.1429
361,0.837827,0.0386,0.0588576,0.00583051,0.230982,360,0,0.245714,4.17472,0.964286,42.1429
362,0.697366,0.0386,0.106624,0.00583051,0.418436,360,0,0.245714,2.3045,0.964286,42.1429
363,3.22719,0.0386,0.0339613,0.00583051,0.133278,360,0,0.245714,7.23513,0.964286,42.1429
364,1.78567,0.0386,0.0341541,0.00583051,0.134035,360,0,0.245714,7.19429,0.964286,42.1429
365,1.79019,0.0386,0.0137574,0.00583051,0.0539897,360,0,0.245714,17.8606,0.964286,42.1429
366,0.110335,0.0386,0.119656,0.00583051,0.46958,360,0,0.245714,2.05351,0.964286,42.1429
367,2.71175,0.0386,0.0166926,0.00583051,0.0655088,360,0,0.245714,14.7199,0.964286,42.1429
368,0.961813,0.0386,0.0918206,0.00583051,0.360342,360,0,0.245714,2.67603,0.964286,42.1429
369,1.00855,0.0386,0.00846837,0.00583051,0.0332334,360,0,0.245714,29.0155,0.964286,42.1429
370,1.8431,0.0386,0.019332,0.00583051,0.075867,360,0,0.245714,12.7102,0.964286,42.1429
371,0.575311,0.0386,0.0240024,0.00583051,0.0941956,360,0,0.245714,10.2371,0.964286,42.1429
372,0.877869,0.0386,0.132031,0.00583051,0.518146,360,0,0.245714,1.86103,0.964286,42.1429
373,0.851851,0.0386,0.0125093,0.00583051,0.0490916,360,0,0.245714,19.6426,0.964286,42.1429
374,1.69908,0.0386,0.0297953,0.00583051,0.116929,360,0,0.245714,8.24675,0.964286,42.1429
375,0.786596,0.0386,0.0361575,0.00583051,0.141897,360,0,0.245714,6.79567,0.964286,42.1429
376,0.976429,0.0386,0.0165767,0.00583051,0.0650538,360,0,0.245714,14.8229,0.964286,42.1429
377,0.169897,0.0386,0.0121158,0.00583051,0.0475474,360,0,0.245714,20.2805,0.964286,42.1429
378,1.14604,0.0386,0.126593,0.00583051,0.496804,360,0,0.245714,1.94098,0.964286,42.1429
379,1.83443,0.0386,0.0471919,0.00583051,0.185201,360,0,0.245714,5.20671,0.964286,42.1429
380,2.00648,0.0386,0.198985,0.00583051,0.780899,360,0,0.245714,1.23484,0.964286,42.1429
381,1.72891,0.0386,0.0215402,0.00583051,0.0845327,360,0,0.245714,11.4073,0.964286,42.1429
382,1.13998,0.0386,0.0404586,0.00583051,0.158776,360,0,0.245714,6.07323,0.964286,42.1429
383,0.97539,0.0386,0.0470613,0.00583051,0.184688,360,0,0.245714,5.22115,0.964286,42.1429
384,1.43292,0.0386,0.0336824,0.00583051,0.132184,360,0,0.245714,7.29504,0.964286,42.1429
385,0.974179,0.0386,0.0900805,0.00583051,0.353514,360,0,0.245714,2.72772,0.964286,42.1429
386,0.924246,0.0386,0.107731,0.00583051,0.42278,360,0,0.245714,2.28082,0.964286,42.1429
387,0.290957,0.0386,0.0314159,0.00583051,0.123289,360,0,0.245714,7.82133,0.964286,42.1429
388,1.09761,0.0386,0.277956,0.00583051,1.09082,360,0,0.245714,0.884004,0.964286,42.1429
389,1.69151,0.0386,0.0285055,0.00583051,0.111867,360,0,0.245714,8.6199,0.964286,42.1429
390,1.61431,0.0386,0.0280016,0.00583051,0.10989,360,0,0.245714,8.775,0.964286,42.1429
391,1.69792,0.0386,0.0734462,0.00583051,0.288234,360,0,0.245714,3.3455,0.964286,42.1429
392,1.68924,0.0386,0.146616,0.00583051,0.575384,360,0,0.245714,1.6759,0.964286,42.1429
393,0.606327,0.0386,0.344818,0.00583051,1.35321,360,0,0.245714,0.71259,0.964286,42.1429
394,1.06556,0.0386,0.030292,0.00583051,0.118879,360,0,0.245714,8.11152,0.964286,42.1429
395,2.48809,0.0386,0.043444,0.00583051,0.170492,360,0,0.245714,5.65588,0.964286,42.1429
396,0.921087,0.0386,0.0123711,0.00583051,0.0485493,360,0,0.245714,19.862,0.964286,42.1429
397,0.775305,0.0386,0.0136686,0.00583051,0.0536412,360,0,0.245714,17.9766,0.964286,42.1429
398,0.780486,0.0386,0.0492052,0.00583051,0.193102,360,0,0.245714,4.99366,0.964286,42.1429
399,2.51045,0.0386,0.0441174,0.00583051,0.173135,360,0,0.245714,5.56956,0.964286,42.1429
400,0.0731495,0.0386,0.0322923,0.00583051,0.126728,360,0,0.245714,7.60907,0.964286,42.1429
401,1.24557,0.0386,0.0141499,0.00583051,0.0555303,360,0,0.245714,17.365,0.964286,42.1429
402,1.81669,0.0386,0.129246,0.00583051,0.507217,360,0,0.245714,1.90113,0.964286,42.1429
403,0.934693,0.0386,0.0220715,0.00583051,0.0866178,360,0,0.245714,11.1327,0.964286,42.1429
404,1.85303,0.0386,0.0200855,0.00583051,0.0788239,360,0,0.245714,12.2334,0.964286,42.1429
405,1.37524,0.0386,0.00936703,0.00583051,0.0367602,360,0,0.245714,26.2318,0.964286,42.1429
406,2.99672,0.0386,0.00502678,0.00583051,0.0197272,360,0,0.245714,48.8811,0.964286,42.1429
407,0.284397,0.0386,0.11885,0.00583051,0.466419,360,0,0.245714,2.06743,0.964286,42.1429
408,0.670006,0.0386,0.00217599,0.00583051,0.0085395,360,0,0.245714,112.921,0.964286,42.1429
409,1.21131,0.0386,0.0326545,0.00583051,0.12815,360,0,0.245714,7.52466,0.964286,42.1429
410,0.446927,0.0386,0.0357085,0.00583051,0.140135,360,0,0.245714,6.88112,0.964286,42.1429
411,1.85163,0.0386,0.037267,0.00583051,0.146251,360,0,0.245714,6.59334,0.964286,42.1429
412,0.433615,0.0386,0.0263568,0.00583051,0.103435,360,0,0.245714,9.32261,0.964286,42.1429
413,1.09021,0.0386,0.0303244,0.00583051,0.119005,360,0,0.245714,8.10287,0.964286,42.1429
414,2.42617,0.0386,0.0028922,0.00583051,0.0113502,360,0,0.245714,84.9575,0.964286,42.1429
415,2.44194,0.0386,0.178864,0.00583051,0.701939,360,0,0.245714,1.37375,0.964286,42.1429
416,0.482414,0.0386,0.0529856,0.00583051,0.207938,360,0,0.245714,4.63738,0.964286,42.1429
417,4.29856,0.0386,0.036292,0.00583051,0.142425,360,0,0.245714,6.77048,0.964286,42.1429
418,1.46697,0.0386,0.1419,0.00583051,0.556874,360,0,0.245714,1.73161,0.964286,42.1429
419,1.15425,0.0386,0.172047,0.00583051,0.675185,360,0,0.245714,1.42818,0.964286,42.1429
420,1.56408,0.0386,0.0336264,0.00583051,0.131964,360,0,0.245714,7.30717,0.964286,42.1429
421,1.33381,0.0386,0.0490991,0.00583051,0.192685,360,0,0.245714,5.00446,0.964286,42.1429
