weight,efficacy
6,29.0
7,35.0
8,38.0
9,31.0
10,38.0
11,38.0
12,38.0
13,43.00000000000001
14,69.0
15,69.0
16,68.0
17,70.0
18,73.0
19,71.0
20,78.0
21,83.0
22,73.0
23,80.0
24,84.0
25,85.0
26,83.0
27,92.0
28,83.0
29,92.0
30,94.0
31,88.0
32,90.0
33,88.0
34,95.0
35,94.0
36,91.0
37,93.0
38,97.0
39,96.0
40,95.0
41,95.0
42,94.0
43,97.0
44,98.0
45,98.0
46,100.0
47,98.0
48,99.0
49,99.0
50,97.0
51,99.0
52,98.0
53,98.0
54,97.0
55,98.0
56,99.0
57,97.0
58,100.0
59,99.0
60,100.0
