PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.143904,0.0386,0.00399913,0.00590206,0.0156943,480,0.24338,0.33164,82.9279,1.30149,56.1905
1,0.0756251,0.0386,0.0109627,0.00590206,0.0430221,480,0.24338,0.33164,30.2517,1.30149,56.1905
2,0.123315,0.0386,0.00699678,0.00590206,0.0274583,480,0.24338,0.33164,47.3989,1.30149,56.1905
3,0.296683,0.0386,0.0145454,0.00590206,0.0570822,480,0.24338,0.33164,22.8003,1.30149,56.1905
4,0.0761613,0.0386,0.128144,0.00590206,0.502889,480,0.24338,0.33164,2.58803,1.30149,56.1905
5,0.101414,0.0386,0.0466422,0.00590206,0.183043,480,0.24338,0.33164,7.1103,1.30149,56.1905
6,0.289128,0.0386,0.00645745,0.00590206,0.0253417,480,0.24338,0.33164,51.3577,1.30149,56.1905
7,0.321208,0.0386,0.153869,0.00590206,0.603845,480,0.24338,0.33164,2.15534,1.30149,56.1905
8,0.303847,0.0386,0.0613548,0.00590206,0.240782,480,0.24338,0.33164,5.40528,1.30149,56.1905
9,0.37981,0.0386,0.0783684,0.00590206,0.30755,480,0.24338,0.33164,4.2318,1.30149,56.1905
10,0.165783,0.0386,0.0235042,0.00590206,0.0922404,480,0.24338,0.33164,14.1098,1.30149,56.1905
11,0.170864,0.0386,0.0312384,0.00590206,0.122593,480,0.24338,0.33164,10.6164,1.30149,56.1905
12,0.226394,0.0386,0.0788791,0.00590206,0.309555,480,0.24338,0.33164,4.20441,1.30149,56.1905
13,0.203206,0.0386,0.00988003,0.00590206,0.0387734,480,0.24338,0.33164,33.5667,1.30149,56.1905
14,0.239126,0.0386,0.0112333,0.00590206,0.0440843,480,0.24338,0.33164,29.5228,1.30149,56.1905
15,0.504253,0.0386,0.122423,0.00590206,0.48044,480,0.24338,0.33164,2.70896,1.30149,56.1905
16,0.132265,0.0386,0.0891551,0.00590206,0.349882,480,0.24338,0.33164,3.71981,1.30149,56.1905
17,0.182032,0.0386,0.0864957,0.00590206,0.339445,480,0.24338,0.33164,3.83417,1.30149,56.1905
18,0.139092,0.0386,0.00961204,0.00590206,0.0377217,480,0.24338,0.33164,34.5025,1.30149,56.1905
19,0.360366,0.0386,0.0243948,0.00590206,0.0957356,480,0.24338,0.33164,13.5947,1.30149,56.1905
20,0.407083,0.0386,0.00319987,0.00590206,0.0125576,480,0.24338,0.33164,103.641,1.30149,56.1905
21,0.494668,0.0386,0.544674,0.00590206,2.13753,480,0.24338,0.33164,0.608878,1.30149,56.1905
22,0.140254,0.0386,0.0390295,0.00590206,0.153168,480,0.24338,0.33164,8.49715,1.30149,56.1905
23,0.17631,0.0386,0.0160876,0.00590206,0.0631343,480,0.24338,0.33164,20.6147,1.30149,56.1905
24,0.330596,0.0386,0.0218,0.00590206,0.0855525,480,0.24338,0.33164,15.2128,1.30149,56.1905
25,0.314441,0.0386,0.0765187,0.00590206,0.300291,480,0.24338,0.33164,4.3341,1.30149,56.1905
26,0.0921016,0.0386,0.0126081,0.00590206,0.0494793,480,0.24338,0.33164,26.3038,1.30149,56.1905
27,0.475085,0.0386,0.0859866,0.00590206,0.337448,480,0.24338,0.33164,3.85688,1.30149,56.1905
28,0.211512,0.0386,0.00806385,0.00590206,0.0316459,480,0.24338,0.33164,41.1267,1.30149,56.1905
29,0.355273,0.0386,0.506202,0.00590206,1.98655,480,0.24338,0.33164,0.655153,1.30149,56.1905
30,0.184815,0.0386,0.010023,0.00590206,0.0393343,480,0.24338,0.33164,33.088,1.30149,56.1905
31,0.356598,0.0386,0.00810886,0.00590206,0.0318226,480,0.24338,0.33164,40.8984,1.30149,56.1905
32,0.466727,0.0386,0.0272115,0.00590206,0.106789,480,0.24338,0.33164,12.1875,1.30149,56.1905
33,0.291025,0.0386,0.0841804,0.00590206,0.330359,480,0.24338,0.33164,3.93963,1.30149,56.1905
34,0.316167,0.0386,0.0534565,0.00590206,0.209786,480,0.24338,0.33164,6.20391,1.30149,56.1905
35,0.0974139,0.0386,0.0431295,0.00590206,0.169258,480,0.24338,0.33164,7.68939,1.30149,56.1905
36,0.159706,0.0386,0.00575927,0.00590206,0.0226018,480,0.24338,0.33164,57.5836,1.30149,56.1905
37,0.281792,0.0386,0.00735983,0.00590206,0.0288831,480,0.24338,0.33164,45.0608,1.30149,56.1905
38,0.242753,0.0386,0.00364297,0.00590206,0.0142966,480,0.24338,0.33164,91.0354,1.30149,56.1905
39,0.271529,0.0386,0.108743,0.00590206,0.426753,480,0.24338,0.33164,3.04976,1.30149,56.1905
