PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
64,0.166244,0.0386,0.00705394,0.00634218,0.0276826,360,0.24338,0.267278,37.8905,1.04891,42.1429
65,0.236189,0.0386,0.0411317,0.00634218,0.161418,360,0.24338,0.267278,6.4981,1.04891,42.1429
66,0.19225,0.0386,0.0997274,0.00634218,0.391372,360,0.24338,0.267278,2.68008,1.04891,42.1429
67,0.103904,0.0386,0.00754671,0.00634218,0.0296164,360,0.24338,0.267278,35.4164,1.04891,42.1429
68,0.584027,0.0386,0.0427148,0.00634218,0.167631,360,0.24338,0.267278,6.25725,1.04891,42.1429
69,0.0342732,0.0386,0.0269556,0.00634218,0.105785,360,0.24338,0.267278,9.91546,1.04891,42.1429
70,0.22763,0.0386,0.0293982,0.00634218,0.115371,360,0.24338,0.267278,9.09163,1.04891,42.1429
71,0.312937,0.0386,0.0557367,0.00634218,0.218734,360,0.24338,0.267278,4.79536,1.04891,42.1429
72,0.139775,0.0386,0.0728269,0.00634218,0.285803,360,0.24338,0.267278,3.67004,1.04891,42.1429
73,0.241489,0.0386,0.0249459,0.00634218,0.0978983,360,0.24338,0.267278,10.7143,1.04891,42.1429
74,0.387936,0.0386,0.0177682,0.00634218,0.0697297,360,0.24338,0.267278,15.0425,1.04891,42.1429
75,0.0627963,0.0386,0.0340409,0.00634218,0.133591,360,0.24338,0.267278,7.85165,1.04891,42.1429
76,0.176974,0.0386,0.275897,0.00634218,1.08274,360,0.24338,0.267278,0.968758,1.04891,42.1429
77,0.106507,0.0386,0.137015,0.00634218,0.537705,360,0.24338,0.267278,1.95071,1.04891,42.1429
78,0.464786,0.0386,0.0287229,0.00634218,0.112721,360,0.24338,0.267278,9.30537,1.04891,42.1429
79,0.198554,0.0386,0.0286848,0.00634218,0.112571,360,0.24338,0.267278,9.31773,1.04891,42.1429
80,0.144185,0.0386,0.00964006,0.00634218,0.0378316,360,0.24338,0.267278,27.7257,1.04891,42.1429
81,0.341139,0.0386,0.147678,0.00634218,0.57955,360,0.24338,0.267278,1.80987,1.04891,42.1429
82,0.379841,0.0386,0.0257963,0.00634218,0.101236,360,0.24338,0.267278,10.3611,1.04891,42.1429
83,0.385988,0.0386,0.017788,0.00634218,0.0698077,360,0.24338,0.267278,15.0257,1.04891,42.1429
84,0.291804,0.0386,0.020863,0.00634218,0.0818751,360,0.24338,0.267278,12.8111,1.04891,42.1429
85,0.217812,0.0386,0.00822729,0.00634218,0.0322873,360,0.24338,0.267278,32.4867,1.04891,42.1429
86,0.249879,0.0386,0.0119897,0.00634218,0.0470525,360,0.24338,0.267278,22.2923,1.04891,42.1429
87,0.214157,0.0386,0.0440541,0.00634218,0.172887,360,0.24338,0.267278,6.06703,1.04891,42.1429
88,0.155836,0.0386,0.0243864,0.00634218,0.0957023,360,0.24338,0.267278,10.9601,1.04891,42.1429
89,0.277363,0.0386,0.0244853,0.00634218,0.0960905,360,0.24338,0.267278,10.9158,1.04891,42.1429
90,0.250689,0.0386,0.0673347,0.00634218,0.26425,360,0.24338,0.267278,3.96939,1.04891,42.1429
91,0.128754,0.0386,0.0324854,0.00634218,0.127486,360,0.24338,0.267278,8.22761,1.04891,42.1429
92,0.219707,0.0386,0.0115479,0.00634218,0.0453188,360,0.24338,0.267278,23.1451,1.04891,42.1429
93,0.284568,0.0386,0.0429338,0.00634218,0.16849,360,0.24338,0.267278,6.22534,1.04891,42.1429
94,0.12148,0.0386,0.0422376,0.00634218,0.165758,360,0.24338,0.267278,6.32796,1.04891,42.1429
95,0.422,0.0386,0.0259449,0.00634218,0.101819,360,0.24338,0.267278,10.3017,1.04891,42.1429
96,0.164807,0.0386,0.00841698,0.00634218,0.0330317,360,0.24338,0.267278,31.7546,1.04891,42.1429
97,0.332764,0.0386,0.0284782,0.00634218,0.11176,360,0.24338,0.267278,9.38533,1.04891,42.1429
98,0.110772,0.0386,0.0191324,0.00634218,0.0750835,360,0.24338,0.267278,13.9699,1.04891,42.1429
99,0.494731,0.0386,0.00725847,0.00634218,0.0284853,360,0.24338,0.267278,36.8228,1.04891,42.1429
100,0.392123,0.0386,0.0657321,0.00634218,0.25796,360,0.24338,0.267278,4.06616,1.04891,42.1429
101,0.450619,0.0386,0.0648418,0.00634218,0.254466,360,0.24338,0.267278,4.12199,1.04891,42.1429
102,0.492331,0.0386,0.19776,0.00634218,0.776092,360,0.24338,0.267278,1.35153,1.04891,42.1429
103,0.359213,0.0386,0.124581,0.00634218,0.488907,360,0.24338,0.267278,2.14542,1.04891,42.1429
104,0.532306,0.0386,0.025734,0.00634218,0.100991,360,0.24338,0.267278,10.3862,1.04891,42.1429
105,0.275482,0.0386,0.00420577,0.00634218,0.0165052,360,0.24338,0.267278,63.5502,1.04891,42.1429
106,0.17773,0.0386,0.0664577,0.00634218,0.260808,360,0.24338,0.267278,4.02177,1.04891,42.1429
107,0.245744,0.0386,0.189187,0.00634218,0.742449,360,0.24338,0.267278,1.41277,1.04891,42.1429
108,0.614991,0.0386,0.0128375,0.00634218,0.0503797,360,0.24338,0.267278,20.8201,1.04891,42.1429
109,0.358869,0.0386,0.0569299,0.00634218,0.223417,360,0.24338,0.267278,4.69485,1.04891,42.1429
110,0.329771,0.0386,0.0217759,0.00634218,0.0854579,360,0.24338,0.267278,12.274,1.04891,42.1429
111,0.219849,0.0386,0.00213935,0.00634218,0.00839571,360,0.24338,0.267278,124.934,1.04891,42.1429
112,0.405935,0.0386,0.0186479,0.00634218,0.0731822,360,0.24338,0.267278,14.3328,1.04891,42.1429
113,0.0814156,0.0386,0.0513349,0.00634218,0.20146,360,0.24338,0.267278,5.20655,1.04891,42.1429
114,0.0658182,0.0386,0.032123,0.00634218,0.126064,360,0.24338,0.267278,8.32045,1.04891,42.1429
115,0.102601,0.0386,0.0518733,0.00634218,0.203573,360,0.24338,0.267278,5.1525,1.04891,42.1429
