PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.104581,0.0386,0.114966,0.00590206,0.451175,480,0.24338,0.33164,2.88467,1.30149,56.1905
1,0.426031,0.0386,0.0123132,0.00590206,0.048322,480,0.24338,0.33164,26.9337,1.30149,56.1905
2,0.113009,0.0386,0.046229,0.00590206,0.181422,480,0.24338,0.33164,7.17385,1.30149,56.1905
3,0.71001,0.0386,0.020795,0.00590206,0.0816083,480,0.24338,0.33164,15.948,1.30149,56.1905
4,0.278394,0.0386,0.0274174,0.00590206,0.107597,480,0.24338,0.33164,12.096,1.30149,56.1905
5,0.154152,0.0386,0.183448,0.00590206,0.719927,480,0.24338,0.33164,1.80781,1.30149,56.1905
6,0.218578,0.0386,0.0929851,0.00590206,0.364913,480,0.24338,0.33164,3.56659,1.30149,56.1905
7,0.48309,0.0386,0.0873668,0.00590206,0.342864,480,0.24338,0.33164,3.79595,1.30149,56.1905
8,0.521249,0.0386,0.00232074,0.00590206,0.00910754,480,0.24338,0.33164,142.903,1.30149,56.1905
9,0.383001,0.0386,0.0417216,0.00590206,0.163733,480,0.24338,0.33164,7.94888,1.30149,56.1905
10,0.0861326,0.0386,0.0255916,0.00590206,0.100432,480,0.24338,0.33164,12.9589,1.30149,56.1905
11,0.288369,0.0386,0.0275525,0.00590206,0.108128,480,0.24338,0.33164,12.0366,1.30149,56.1905
12,0.275584,0.0386,0.210264,0.00590206,0.825165,480,0.24338,0.33164,1.57725,1.30149,56.1905
13,0.222198,0.0386,0.0121107,0.00590206,0.0475275,480,0.24338,0.33164,27.384,1.30149,56.1905
14,0.182651,0.0386,0.0159781,0.00590206,0.0627048,480,0.24338,0.33164,20.7559,1.30149,56.1905
15,0.309002,0.0386,0.0791959,0.00590206,0.310798,480,0.24338,0.33164,4.18758,1.30149,56.1905
16,0.242966,0.0386,0.0604646,0.00590206,0.237288,480,0.24338,0.33164,5.48486,1.30149,56.1905
17,0.632669,0.0386,0.011848,0.00590206,0.0464965,480,0.24338,0.33164,27.9912,1.30149,56.1905
18,0.16097,0.0386,0.0148943,0.00590206,0.0584513,480,0.24338,0.33164,22.2663,1.30149,56.1905
19,0.1214,0.0386,0.177838,0.00590206,0.697909,480,0.24338,0.33164,1.86485,1.30149,56.1905
20,0.172407,0.0386,0.0145461,0.00590206,0.0570849,480,0.24338,0.33164,22.7992,1.30149,56.1905
21,0.285513,0.0386,0.0709992,0.00590206,0.278631,480,0.24338,0.33164,4.67103,1.30149,56.1905
22,0.056129,0.0386,0.0216334,0.00590206,0.0848983,480,0.24338,0.33164,15.33,1.30149,56.1905
23,0.255015,0.0386,0.0486446,0.00590206,0.190902,480,0.24338,0.33164,6.8176,1.30149,56.1905
24,0.244515,0.0386,0.0996146,0.00590206,0.390929,480,0.24338,0.33164,3.32923,1.30149,56.1905
25,0.400469,0.0386,0.0432922,0.00590206,0.169897,480,0.24338,0.33164,7.6605,1.30149,56.1905
26,0.16232,0.0386,0.0512536,0.00590206,0.20114,480,0.24338,0.33164,6.47057,1.30149,56.1905
27,0.237562,0.0386,0.0072056,0.00590206,0.0282778,480,0.24338,0.33164,46.0253,1.30149,56.1905
28,0.364652,0.0386,0.00189763,0.00590206,0.0074471,480,0.24338,0.33164,174.765,1.30149,56.1905
29,0.118847,0.0386,0.0371361,0.00590206,0.145738,480,0.24338,0.33164,8.93039,1.30149,56.1905
30,0.205915,0.0386,0.0579584,0.00590206,0.227453,480,0.24338,0.33164,5.72203,1.30149,56.1905
31,0.0991911,0.0386,0.0635253,0.00590206,0.2493,480,0.24338,0.33164,5.22059,1.30149,56.1905
32,0.182856,0.0386,0.0153664,0.00590206,0.0603042,480,0.24338,0.33164,21.5821,1.30149,56.1905
33,0.343443,0.0386,0.0112626,0.00590206,0.044199,480,0.24338,0.33164,29.4462,1.30149,56.1905
34,0.260279,0.0386,0.0368346,0.00590206,0.144554,480,0.24338,0.33164,9.00348,1.30149,56.1905
35,0.0320367,0.0386,0.0894164,0.00590206,0.350908,480,0.24338,0.33164,3.70893,1.30149,56.1905
36,0.0652514,0.0386,0.0834962,0.00590206,0.327674,480,0.24338,0.33164,3.97191,1.30149,56.1905
37,0.295054,0.0386,0.0338575,0.00590206,0.132871,480,0.24338,0.33164,9.79517,1.30149,56.1905
38,0.414495,0.0386,0.130404,0.00590206,0.511761,480,0.24338,0.33164,2.54317,1.30149,56.1905
39,0.197566,0.0386,0.0371309,0.00590206,0.145717,480,0.24338,0.33164,8.93164,1.30149,56.1905
40,0.184838,0.0386,0.0686431,0.00590206,0.269384,480,0.24338,0.33164,4.83136,1.30149,56.1905
41,0.252815,0.0386,0.00314039,0.00590206,0.0123242,480,0.24338,0.33164,105.605,1.30149,56.1905
42,0.403771,0.0386,0.0279633,0.00590206,0.10974,480,0.24338,0.33164,11.8598,1.30149,56.1905
43,0.456392,0.0386,0.0124328,0.00590206,0.0487916,480,0.24338,0.33164,26.6745,1.30149,56.1905
44,0.328204,0.0386,0.0757098,0.00590206,0.297117,480,0.24338,0.33164,4.38041,1.30149,56.1905
45,0.160945,0.0386,0.0339493,0.00590206,0.133231,480,0.24338,0.33164,9.76868,1.30149,56.1905
