pmax_lum,efficacy
0.9995,97.03
0.9954287755102041,96.77
0.9913575510204082,97.0
0.9872863265306123,97.02
0.9832151020408164,96.95
0.9791438775510205,97.22
0.9750726530612246,96.74
0.9710014285714286,96.85
0.9669302040816327,96.98
0.9628589795918367,96.51
0.9587877551020408,96.74
0.9547165306122449,96.9
0.950645306122449,96.92
0.9465740816326531,97.0
0.9425028571428572,96.82
0.9384316326530613,96.83
0.9343604081632654,97.18
0.9302891836734695,97.12
0.9262179591836736,97.1
0.9221467346938776,96.94
0.9180755102040816,96.72
0.9140042857142857,96.76
0.9099330612244898,96.88
0.9058618367346939,96.77
0.901790612244898,96.99
0.8977193877551021,97.04
0.8936481632653062,96.98
0.8895769387755103,96.74
0.8855057142857143,96.98
0.8814344897959184,96.89
0.8773632653061225,96.89
0.8732920408163265,97.0
0.8692208163265307,96.65
0.8651495918367347,96.66
0.8610783673469388,96.68
0.8570071428571429,96.79
0.852935918367347,96.86
0.848864693877551,96.98
0.8447934693877551,97.12
0.8407222448979592,96.72
0.8366510204081633,96.91
0.8325797959183674,96.54
0.8285085714285715,96.55
0.8244373469387756,96.6
0.8203661224489796,96.66
0.8162948979591838,97.06
0.8122236734693877,96.82
0.8081524489795918,96.71
0.8040812244897959,96.63
0.80001,96.56
