pmax_art,efficacy
0.9998,99.979
0.9997888888888888,99.978
0.9997777777777777,99.977
0.9997666666666666,99.976
0.9988888888888888,99.975
0.9977777777777777,99.974
0.9966666666666666,99.973
0.9958891836734695,99.972
0.9918083673469388,99.686
0.9877275510204082,98.87
0.9836467346938775,97.926
0.979565918367347,96.848
0.9754851020408164,95.956
0.9714042857142857,94.97
0.9673234693877552,94.258
0.9632426530612245,93.608
0.9591618367346939,93.016
0.9550810204081632,92.872
0.9510002040816327,92.244
0.9469193877551021,92.184
0.9428385714285714,91.762
0.9387577551020408,91.73
0.9346769387755103,91.532
0.9305961224489796,91.43
0.926515306122449,91.426
0.9224344897959184,91.378
0.9183536734693878,91.078
0.9142728571428571,90.996
0.9101920408163265,90.996
0.906111224489796,90.978
0.9020304081632653,90.824
0.8979495918367347,90.632
0.8938687755102042,90.5
0.8897879591836735,90.794
0.8857071428571429,90.726
0.8816263265306122,90.578
0.8775455102040817,90.354
0.873464693877551,90.34
0.8693838775510204,90.52
0.8653030612244899,90.396
0.8612222448979592,90.404
0.8571414285714286,90.236
0.853060612244898,90.132
0.8489797959183674,90.206
0.8448989795918367,90.32
0.8408181632653061,90.402
0.8367373469387756,90.028
0.8326565306122449,90.126
0.8285757142857143,90.028
0.8244948979591837,90.126
0.8204140816326531,89.94
0.8163332653061225,90.128
0.8122524489795918,90.182
0.8081716326530612,89.814
0.8040908163265306,89.922
0.80001,89.782
