pmax_art,efficacy
0.99997,100.0
0.9958891836734695,99.98
0.9918083673469388,99.66
0.9877275510204082,98.93
0.9836467346938775,98.12
0.979565918367347,96.58
0.9754851020408164,96.01
0.9714042857142857,94.67
0.9673234693877552,94.33
0.9632426530612245,93.9
0.9591618367346939,93.23
0.9550810204081632,92.54
0.9510002040816327,92.28
0.9469193877551021,91.82
0.9428385714285714,91.71
0.9387577551020408,91.63
0.9346769387755103,91.37
0.9305961224489796,91.42
0.926515306122449,91.38
0.9224344897959184,90.95
0.9183536734693878,90.96000000000001
0.9142728571428571,91.05
0.9101920408163265,90.92
0.906111224489796,90.62
0.9020304081632653,90.6
0.8979495918367347,90.55
0.8938687755102042,90.16
0.8897879591836735,90.62
0.8857071428571429,90.47
0.8816263265306122,90.56
0.8775455102040817,90.86
0.873464693877551,90.42
0.8693838775510204,90.62
0.8653030612244899,90.32
0.8612222448979592,90.39
0.8571414285714286,90.16
0.853060612244898,90.53999999999999
0.8489797959183674,90.27
0.8448989795918367,90.14
0.8408181632653061,90.08
0.8367373469387756,90.16
0.8326565306122449,90.56
0.8285757142857143,89.66
0.8244948979591837,90.01
0.8204140816326531,89.65
0.8163332653061225,89.93
0.8122524489795918,90.25
0.8081716326530612,89.69
0.8040908163265306,89.2
0.80001,90.33
