pmax_art,efficacy
0.9995,100.0
0.9954287755102041,100.0
0.9913575510204082,100.0
0.9872863265306123,100.0
0.9832151020408164,100.0
0.9791438775510205,100.0
0.9750726530612246,100.0
0.9710014285714286,100.0
0.9669302040816327,100.0
0.9628589795918367,100.0
0.9587877551020408,100.0
0.9547165306122449,100.0
0.950645306122449,100.0
0.9465740816326531,100.0
0.9425028571428572,100.0
0.9384316326530613,100.0
0.9343604081632654,100.0
0.9302891836734695,100.0
0.9262179591836736,100.0
0.9221467346938776,100.0
0.9180755102040816,100.0
0.9140042857142857,100.0
0.9099330612244898,100.0
0.9058618367346939,100.0
0.901790612244898,100.0
0.8977193877551021,100.0
0.8936481632653062,100.0
0.8895769387755103,100.0
0.8855057142857143,100.0
0.8814344897959184,100.0
0.8773632653061225,100.0
0.8732920408163265,100.0
0.8692208163265307,100.0
0.8651495918367347,100.0
0.8610783673469388,100.0
0.8570071428571429,100.0
0.852935918367347,100.0
0.848864693877551,100.0
0.8447934693877551,100.0
0.8407222448979592,100.0
0.8366510204081633,100.0
0.8325797959183674,100.0
0.8285085714285715,100.0
0.8244373469387756,100.0
0.8203661224489796,100.0
0.8162948979591838,100.0
0.8122236734693877,100.0
0.8081524489795918,100.0
0.8040812244897959,100.0
0.80001,100.0
